,daafisch,Chris,Tbistany,SHARKface,Erez,Tim,Jason,Ilan,Mark,JP,Frank Puoplo,D
QB,35.8,13.3,36.9,28.55,38.0,31.05,26.8,37.25,25.15,30.6,31.25,26.9
WR1,10.3,21.1,16.6,32.6,14.8,3.3,28.6,9.7,21.7,12.0,2.2,2.6
WR2,16.6,18.5,2.6,5.1,9.3,10.6,8.6,30.1,6.9,4.9,23.3,10.05
WR3,4.05,2.8,4.8,20.5,12.7,15.25,4.8,16.5,13.0,11.8,9.7,6.2
RB1,13.6,24.3,16.0,-0.7,6.6,11.9,6.4,12.4,16.5,16.7,15.4,14.3
RB2,28.9,5.55,9.5,1.0,12.1,11.4,7.6,14.2,3.2,23.8,5.7,6.5
TE,19.8,6.7,7.8,2.8,9.3,1.4,10.5,10.0,7.1,6.3,6.4,6.8
W/R/T,12.4,24.4,7.9,12.1,9.5,15.8,2.9,4.6,18.0,8.1,5.5,15.95
BN1,8.1,0.0,0.0,4.2,0.0,0.0,0.0,17.15,0.0,0.0,0.0,5.9
BN2,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BN3,0.0,0.0,14.5,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BN4,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BN5,12.0,0.0,4.9,1.8,7.6,0.9,10.2,0.0,0.0,0.0,0.0,0.4
BN6,,,,,,,,,,,,
BN7,,,,,,,,,,,,
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
DEF,18.0,27.0,11.75,6.65,8.95,24.75,16.45,12.6,17.35,13.95,7.1,12.5
