,daafisch,Chris,Tbistany,SHARKface,Erez,Tim,Jason,Ilan,Mark,JP,Frank Puoplo,D
QB,23.85,45.65,5.65,39.95,34.55,42.45,24.4,45.45,24.35,20.8,15.9,25.25
WR1,12.85,19.0,8.1,32.4,23.3,10.2,3.9,31.6,8.2,11.4,24.0,6.5
WR2,14.0,4.4,0.35,20.3,24.2,7.6,4.4,12.1,21.2,9.4,12.9,4.7
WR3,14.5,18.2,25.7,7.2,16.1,10.65,12.2,15.7,5.6,11.1,13.8,16.9
RB1,8.7,18.3,3.2,21.1,17.4,23.0,23.2,10.1,15.3,4.9,5.4,9.2
RB2,16.6,20.4,15.2,8.7,10.3,16.9,3.2,6.9,11.2,11.7,15.6,-0.6
TE,5.1,8.1,21.7,1.8,4.6,21.5,12.2,22.6,9.3,3.5,9.2,9.8
W/R/T,2.0,3.75,12.6,27.4,14.85,5.8,16.1,18.4,14.6,10.9,20.5,16.5
BN1,8.5,0.0,0.0,3.1,1.9,0.0,19.3,4.6,8.4,5.1,9.5,10.5
BN2,7.8,10.7,0.0,9.1,0.0,2.4,2.5,5.3,1.9,8.5,21.0,0.2
BN3,14.1,2.4,8.4,7.25,20.8,9.5,10.0,16.4,0.0,4.95,16.2,10.3
BN4,11.55,36.1,0.0,0.0,0.2,4.1,2.2,25.0,3.8,10.1,0.8,40.9
BN5,7.2,0.0,0.8,15.7,21.7,27.9,6.3,0.0,12.5,1.2,-0.4,8.8
BN6,,,,,,,,,,,,
BN7,,,,,,,,,,,,
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
DEF,11.2,10.0,15.1,10.0,9.65,9.4,13.35,8.4,19.25,10.2,9.35,16.4
