,daafisch,Chris,Tbistany,SHARKface,Erez,Tim,Jason,Ilan,Mark,JP,Frank Puoplo,D
QB,27.3,26.45,34.85,22.5,28.0,22.9,40.3,37.55,19.05,30.4,31.6,30.75
WR1,12.3,7.3,20.7,20.3,5.1,12.0,3.2,14.0,7.1,16.9,11.1,19.3
WR2,12.0,5.9,14.4,11.7,2.7,7.3,7.1,5.4,12.3,24.55,20.4,2.3
WR3,1.8,2.7,2.0,14.6,1.0,3.5,3.1,12.0,13.1,15.0,6.3,14.7
RB1,4.6,2.4,40.6,17.5,11.3,30.3,3.5,11.0,17.7,13.9,5.2,18.2
RB2,12.5,11.7,7.3,4.9,20.1,26.5,9.3,18.6,6.5,6.9,2.0,19.9
TE,3.6,4.6,11.0,3.5,2.6,4.3,14.1,15.8,0.8,14.5,12.0,1.8
W/R/T,9.7,8.9,15.3,6.95,3.5,21.25,0.5,9.1,6.5,18.9,5.05,12.1
BN1,0.0,0.0,1.4,1.2,0.0,0.0,9.7,18.2,6.5,10.55,7.0,0.0
BN2,0.0,0.0,3.4,0.0,4.3,5.3,2.3,0.0,3.2,1.2,4.0,0.0
BN3,0.0,0.0,1.4,7.4,0.0,16.6,0.6,0.0,0.0,16.7,2.7,16.8
BN4,3.2,0.0,0.0,5.2,20.1,0.0,8.0,0.0,18.5,25.3,0.0,9.65
BN5,2.0,4.2,2.7,5.0,0.0,0.0,0.0,29.25,0.0,,,9.8
BN6,,,,,,,,,,,,
BN7,,,,,,,,,,,,
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
DEF,10.9,17.45,10.85,16.25,9.6,10.7,5.0,7.8,20.35,16.45,13.8,7.7
