,daafisch,Chris,Tbistany,SHARKface,Erez,Tim,Jason,Ilan,Mark,JP,Frank Puoplo,D
QB,29.15,36.95,37.85,38.4,25.0,50.1,19.95,20.35,41.65,25.05,24.75,30.6
WR1,17.9,14.2,16.1,3.9,13.4,15.8,22.0,4.4,22.2,14.0,27.8,9.4
WR2,8.3,16.3,12.9,32.3,1.8,15.5,15.8,15.0,2.2,0.7,5.8,10.8
WR3,12.8,18.6,11.2,13.4,2.4,12.3,5.3,18.3,5.3,9.5,13.0,1.4
RB1,2.6,9.4,7.9,16.3,15.8,7.6,22.2,6.6,15.1,16.7,16.6,44.7
RB2,5.0,9.8,15.7,9.8,8.3,10.3,38.5,7.9,5.8,6.3,5.8,4.1
TE,9.8,4.3,16.6,12.7,5.2,9.0,3.4,20.4,1.3,8.2,11.3,3.7
W/R/T,8.2,12.9,10.0,13.1,20.4,16.1,2.6,12.4,6.4,18.0,13.4,7.0
BN1,2.7,8.8,0.0,3.1,2.15,0.0,7.9,7.9,1.8,10.1,8.0,9.6
BN2,5.8,0.8,0.0,15.5,13.0,22.75,5.6,2.6,8.0,22.9,5.2,0.0
BN3,4.6,0.0,9.6,21.1,6.7,0.0,3.4,20.3,5.6,8.9,14.5,4.6
BN4,5.8,33.25,0.0,3.6,6.2,3.2,25.05,17.9,4.1,0.0,17.8,5.7
BN5,2.8,0.0,4.5,1.75,5.3,7.5,2.8,0.0,,5.5,0.0,24.2
BN6,,,,,,,,,,,,
BN7,,,,,,,,,,,,
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
DEF,33.65,13.5,11.1,22.9,23.95,5.4,9.15,10.15,9.65,11.45,5.8,13.2
