,daafisch,Chris,Tbistany,SHARKface,Erez,Tim,Jason,Ilan,Mark,JP,Frank Puoplo,D
QB,14.8,29.7,31.7,51.35,27.65,22.55,41.65,30.7,61.8,18.95,13.35,51.3
WR1,6.95,10.5,32.1,13.5,17.7,15.9,26.3,11.3,6.6,21.0,8.2,5.2
WR2,24.3,17.9,5.0,13.3,6.5,3.0,11.2,24.9,0.0,6.3,17.65,4.4
WR3,10.5,32.5,4.5,6.6,21.5,24.1,1.0,14.2,7.6,1.8,5.3,9.05
RB1,2.9,9.8,0.9,23.5,20.2,15.85,12.9,21.2,0.0,24.2,21.2,31.0
RB2,28.15,15.4,19.0,11.1,2.9,10.0,12.3,10.2,30.4,30.4,23.4,22.8
TE,22.4,3.4,3.2,1.3,16.5,6.5,10.9,14.7,6.3,36.2,1.7,3.5
W/R/T,3.3,19.4,16.4,14.6,18.9,2.8,4.0,29.0,27.9,7.9,7.7,14.7
BN1,21.5,0.7,12.4,0.6,0.0,16.3,3.8,3.8,0.0,5.0,3.5,4.0
BN2,4.3,12.1,15.9,15.9,10.7,5.1,5.3,26.9,7.6,7.2,3.0,0.0
BN3,11.95,14.6,2.9,4.7,0.0,0.0,0.0,0.0,8.4,18.0,7.5,0.0
BN4,24.4,19.2,8.2,4.5,0.8,2.4,0.0,10.1,7.5,6.4,2.85,11.0
BN5,13.3,,0.0,4.1,0.0,31.95,1.2,5.9,13.85,8.8,1.6,29.4
BN6,,,,,,,,,,,,
BN7,,,,,,,,,,,,
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
DEF,9.6,10.0,19.55,10.9,10.8,9.05,9.9,7.2,8.75,8.3,16.55,7.3
