,daafisch,Chris,Tbistany,SHARKface,Erez,Tim,Jason,Ilan,Mark,JP,Frank Puoplo,D
QB,31.05,37.45,31.15,34.95,36.75,33.05,44.75,42.75,20.95,20.25,16.6,16.45
WR1,8.4,6.8,10.9,8.0,19.0,10.0,3.7,18.1,4.8,10.1,4.65,7.3
WR2,8.8,4.8,24.3,29.9,19.4,10.4,4.1,11.7,8.9,8.4,31.6,1.2
WR3,7.5,3.7,11.7,17.2,12.6,5.1,7.4,14.1,16.0,13.0,12.6,5.35
RB1,3.1,17.3,27.7,9.1,3.4,23.8,19.0,17.6,28.3,15.4,21.7,14.7
RB2,8.9,15.2,6.5,5.9,21.3,18.2,13.0,2.4,7.6,7.5,9.3,22.4
TE,13.8,6.0,10.9,1.1,9.5,8.4,10.4,13.9,6.1,15.3,20.2,10.5
W/R/T,2.7,9.6,23.7,3.3,11.6,0.7,18.3,5.5,19.8,19.4,5.9,34.6
BN1,0.0,0.0,11.4,2.0,4.9,6.8,11.5,7.6,15.5,16.4,9.3,1.0
BN2,0.0,0.0,0.0,0.0,0.0,0.0,8.6,13.4,0.0,19.6,19.5,12.6
BN3,18.5,0.0,0.0,0.0,0.6,0.0,8.8,0.0,0.0,0.0,1.4,0.0
BN4,0.0,13.7,16.3,0.0,7.1,1.4,0.0,8.3,0.0,0.0,20.3,4.2
BN5,5.65,3.85,0.0,0.0,,23.55,15.55,1.2,15.1,25.9,0.0,26.15
BN6,,,,,,,,,,,,
BN7,,,,,,,,,,,,
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
DEF,10.95,7.05,7.15,15.45,6.15,13.25,9.4,6.3,21.65,21.3,19.7,21.0
