,daafisch,Chris,Tbistany,SHARKface,Erez,Tim,Jason,Ilan,Mark,JP,Frank Puoplo,D
QB,25.6,15.9,25.8,45.8,33.95,35.55,13.15,20.6,25.65,17.7,1.15,37.95
WR1,19.9,14.0,0.5,6.8,0.0,29.6,2.5,26.5,3.7,7.1,16.3,15.0
WR2,8.5,13.5,0.3,22.9,2.5,9.8,1.6,7.7,12.1,15.45,24.3,13.1
WR3,6.4,22.7,1.9,5.1,10.2,11.1,13.4,3.2,0.9,5.2,17.45,1.9
RB1,9.7,17.1,18.7,19.9,19.6,9.4,9.2,18.1,24.3,5.7,13.2,19.5
RB2,8.5,24.1,10.4,3.1,0.65,15.5,8.95,26.8,18.2,14.9,2.25,9.5
TE,6.8,12.3,12.9,-1.3,0.0,3.9,6.8,4.2,7.3,7.0,6.1,35.1
W/R/T,2.65,1.7,20.4,3.2,0.6,17.6,25.5,2.0,5.2,15.9,19.75,5.0
BN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,15.7,2.1,11.0
BN2,0.0,31.55,0.0,0.0,2.5,9.7,0.0,6.9,0.0,0.0,0.0,0.0
BN3,7.8,1.5,0.0,0.0,3.7,33.6,0.0,8.0,8.1,2.4,0.0,0.0
BN4,7.4,2.5,4.5,0.0,0.0,0.0,0.0,19.8,25.95,16.5,5.3,0.0
BN5,8.7,1.8,0.0,7.6,0.3,3.6,0.0,23.85,0.0,,3.45,14.25
BN6,,,,,,,,,,,,
BN7,,,,,,,,,,,,
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
DEF,18.65,12.35,12.4,11.95,9.95,29.85,16.55,15.95,9.0,6.75,7.65,15.05
