,daafisch,Chris,Tbistany,SHARKface,Erez,Tim,Jason,Ilan,Mark,JP,Frank Puoplo,D
QB,16.0,15.6,43.85,30.35,35.55,35.15,23.75,13.3,22.4,25.45,22.45,48.6
WR1,13.5,3.3,18.2,15.9,4.4,33.2,8.1,15.5,18.8,16.3,2.9,12.2
WR2,15.7,18.2,27.0,18.05,4.1,25.6,4.3,19.6,5.9,17.4,13.5,6.65
WR3,5.1,16.2,1.15,2.0,5.0,7.0,17.3,11.5,6.9,20.6,7.3,9.3
RB1,7.0,21.1,10.4,12.3,21.0,9.95,21.4,18.4,51.9,9.8,14.4,8.6
RB2,14.6,7.0,8.6,12.7,7.5,24.3,4.5,10.8,17.0,6.3,5.95,3.9
TE,4.4,24.8,8.1,5.0,3.5,15.1,8.3,16.3,7.5,11.0,9.1,11.4
W/R/T,8.0,7.2,4.3,21.4,0.0,5.8,8.7,17.1,3.5,38.5,6.6,3.1
BN1,4.4,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,7.2,0.0
BN2,0.0,3.45,9.1,2.6,0.0,0.0,0.0,0.0,0.0,9.8,2.5,0.0
BN3,11.9,3.5,0.0,2.2,0.0,0.0,0.0,2.8,4.9,6.05,20.3,0.0
BN4,2.5,1.8,0.0,3.6,5.5,0.0,0.5,17.25,0.0,-0.3,0.0,33.25
BN5,5.5,11.55,5.85,12.3,0.5,0.0,,10.1,1.7,7.4,6.9,0.0
BN6,,,,,,,,,,,,
BN7,,,,,,,,,,,,
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
DEF,10.5,15.75,7.9,5.2,7.4,14.95,8.55,10.9,38.85,6.9,13.45,13.35
