,daafisch,Chris,Tbistany,SHARKface,Erez,Tim,Jason,Ilan,Mark,JP,Frank Puoplo,D
QB,21.4,44.5,28.6,14.25,28.6,33.3,28.5,31.9,26.1,34.8,14.15,29.5
WR1,27.9,7.0,9.4,14.4,8.7,11.5,11.0,42.1,27.3,14.9,4.4,7.8
WR2,14.5,8.9,6.1,8.9,19.1,17.4,15.7,7.2,14.6,12.8,3.9,16.3
WR3,7.1,1.6,5.4,2.1,6.2,4.1,2.6,10.7,14.25,16.0,2.3,14.6
RB1,18.4,22.6,27.1,11.0,14.5,13.2,9.9,0.3,3.6,20.3,18.1,24.7
RB2,12.0,3.6,8.1,9.6,5.4,36.0,7.7,20.1,18.9,28.0,15.6,8.2
TE,7.0,16.0,6.2,1.8,1.6,13.0,14.1,4.3,5.6,9.2,1.6,0.0
W/R/T,0.05,6.9,1.1,32.45,12.1,1.25,7.4,19.7,6.2,5.65,6.6,6.0
BN1,0.0,5.1,15.9,10.2,10.6,0.0,0.0,17.1,1.0,0.0,0.0,-0.9
BN2,4.8,8.9,14.1,0.0,0.0,9.1,0.0,0.0,14.2,27.3,13.6,2.0
BN3,12.85,28.55,15.4,7.5,0.0,6.4,7.4,7.4,15.7,14.0,3.6,8.5
BN4,2.7,18.2,6.9,7.4,17.9,0.7,14.8,19.6,9.8,21.95,0.0,11.9
BN5,9.9,-1.5,0.0,3.6,3.9,24.8,3.9,2.8,12.65,7.9,10.15,40.05
BN6,,,,,,,,,,,,
BN7,,,,,,,,,,,,
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
DEF,35.2,7.2,5.6,6.1,6.45,6.05,15.9,11.55,10.7,12.15,15.2,8.1
