,daafisch,Chris,Tbistany,SHARKface,Erez,Tim,Jason,Ilan,Mark,JP,Frank Puoplo,D
QB,22.9,32.5,27.65,46.5,40.95,33.7,51.3,30.5,23.65,29.95,39.35,40.65
WR1,16.5,16.6,25.2,4.1,3.6,10.1,14.6,7.2,8.2,9.2,5.1,3.7
WR2,19.7,10.3,14.0,26.1,12.4,22.3,6.2,16.2,8.4,2.75,0.3,11.6
WR3,15.0,29.7,1.3,4.0,2.6,15.2,1.3,6.8,13.9,1.4,9.2,3.6
RB1,15.9,6.5,18.4,8.4,16.9,9.9,5.0,8.9,15.2,25.1,21.2,17.9
RB2,19.3,2.1,11.0,9.0,4.9,2.2,16.6,22.4,7.7,19.7,24.5,20.1
TE,4.5,3.7,2.0,1.1,8.9,7.9,7.6,13.9,12.5,13.4,9.7,13.6
W/R/T,14.1,19.7,1.3,7.7,6.2,11.2,4.3,7.5,7.0,5.3,8.4,10.2
BN1,16.4,11.35,5.5,3.6,0.0,3.1,14.6,20.5,13.9,6.8,2.5,0.0
BN2,11.8,10.4,0.0,0.6,6.6,4.1,15.3,0.0,13.6,0.5,0.0,1.1
BN3,0.6,26.6,12.3,11.25,7.7,0.0,7.0,11.7,0.0,6.1,7.2,2.8
BN4,0.0,1.1,4.9,2.7,3.7,6.8,0.6,17.8,6.2,10.4,13.7,9.4
BN5,3.9,5.45,2.5,13.65,16.6,16.65,1.65,0.0,,0.0,4.8,31.3
BN6,,,,,,,,,,,,
BN7,,,,,,,,,,,,
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
DEF,10.3,10.2,9.85,6.5,4.6,10.1,23.35,24.15,5.8,29.8,7.1,8.35
