,daafisch,Chris,Tbistany,SHARKface,Erez,Tim,Jason,Ilan,Mark,JP,Frank Puoplo,D
QB,57.35,32.9,29.0,19.7,14.15,29.85,40.6,43.1,0.0,21.25,6.55,31.8
WR1,11.1,0.0,28.4,12.6,5.3,15.6,0.0,12.1,5.5,18.0,4.5,11.8
WR2,0.0,2.8,0.0,16.3,10.6,11.7,16.5,16.0,6.3,8.4,37.4,7.5
WR3,5.5,0.0,5.5,18.0,3.0,11.75,0.0,2.9,8.3,3.9,9.45,3.8
RB1,9.6,20.1,3.3,25.9,12.8,28.5,11.2,1.0,9.0,5.3,13.5,10.9
RB2,6.9,1.25,20.0,7.1,6.2,15.1,7.7,9.0,4.0,13.2,,30.2
TE,13.2,6.4,9.4,0.1,1.4,8.7,3.8,2.8,6.6,22.5,0.0,3.1
W/R/T,13.4,4.6,21.5,23.6,16.3,6.0,0.5,6.9,3.7,16.7,0.0,1.1
BN1,7.4,14.0,1.7,14.5,0.0,0.0,18.2,2.1,10.8,0.0,0.0,10.0
BN2,6.1,12.5,6.4,0.0,0.0,7.5,0.9,0.0,8.9,24.15,3.95,6.6
BN3,19.0,12.5,15.3,19.5,0.0,28.45,1.2,0.0,3.7,20.2,0.0,21.15
BN4,8.0,28.3,,16.0,0.0,4.8,26.9,0.0,15.1,8.1,0.0,6.6
BN5,6.6,20.85,,,0.0,8.8,21.0,3.9,1.95,0.0,11.4,16.75
BN6,,,,,,,,,,,4.5,
BN7,,,,,,,,,,,,
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
DEF,14.9,21.2,17.65,5.9,29.6,11.85,11.45,31.05,11.9,11.15,6.05,7.6
