,daafisch,Chris,Tbistany,SHARKface,Erez,Tim,Jason,Ilan,Mark,JP,Frank Puoplo,D
QB,18.35,42.2,34.0,9.9,25.4,18.65,25.9,22.25,0.0,10.5,25.65,29.4
WR1,8.2,7.9,13.4,4.5,2.2,12.7,1.9,7.3,6.1,11.5,0.0,6.25
WR2,14.8,11.7,2.7,30.2,1.0,0.0,5.5,0.8,4.7,9.1,3.3,4.3
WR3,16.3,6.4,0.0,1.8,5.8,1.2,5.5,26.8,19.9,19.1,8.0,8.4
RB1,8.0,8.8,10.2,15.8,15.5,6.5,14.45,8.0,2.9,14.7,3.6,10.9
RB2,4.1,0.95,7.4,10.0,10.1,3.3,14.5,16.3,2.1,16.2,,12.2
TE,9.7,1.2,10.4,4.9,22.7,0.0,17.0,36.1,0.0,30.6,5.7,12.3
W/R/T,4.5,15.8,3.7,16.4,16.1,10.2,6.6,10.1,6.8,18.9,18.3,1.2
BN1,1.9,7.95,12.5,0.0,0.0,0.0,16.7,3.9,23.0,15.6,0.0,5.2
BN2,20.2,2.5,1.6,0.0,2.5,12.35,4.6,25.7,8.3,0.0,0.0,38.6
BN3,8.7,1.2,0.0,5.4,17.0,0.0,0.0,9.3,6.8,19.45,0.0,23.0
BN4,9.8,0.0,4.4,18.1,5.4,22.15,22.65,3.2,0.0,0.0,0.0,3.5
BN5,9.2,8.3,19.5,,0.0,,9.65,5.4,6.05,5.8,2.4,12.3
BN6,,,,,,,,,,,8.2,
BN7,,,,,,,,,,,,
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
DEF,6.35,10.7,5.8,11.3,11.25,10.4,9.85,21.5,6.9,13.0,9.25,11.05
