,daafisch,Chris,Tbistany,SHARKface,Erez,Tim,Jason,Ilan,Mark,JP,Frank Puoplo,D
QB,2.35,50.3,18.9,23.2,19.75,26.9,32.6,37.8,23.3,13.9,10.55,17.95
WR1,4.4,9.6,9.0,17.7,3.9,18.4,20.6,24.0,9.3,26.2,26.55,4.6
WR2,13.8,5.3,11.3,27.8,11.0,8.1,2.5,6.7,8.9,8.4,3.3,14.1
WR3,4.1,9.2,10.7,7.1,6.1,11.9,13.2,9.8,0.0,0.9,2.8,6.9
RB1,16.2,2.5,6.1,18.8,19.3,4.4,10.6,5.0,21.6,9.1,15.3,24.9
RB2,25.4,15.0,13.2,9.2,5.9,14.25,21.1,13.9,1.9,19.8,5.05,6.1
TE,8.0,6.6,0.0,14.6,17.7,4.4,1.9,15.9,9.5,15.3,3.6,13.5
W/R/T,1.0,4.95,7.3,4.1,9.8,2.8,8.8,16.4,0.0,13.4,14.2,19.2
BN1,4.45,0.0,2.9,1.8,20.8,0.0,3.8,5.9,0.0,26.25,4.5,1.3
BN2,0.0,4.0,15.3,25.8,8.7,11.4,8.7,0.0,12.9,0.0,0.0,0.0
BN3,0.0,6.3,2.1,3.1,1.9,0.0,2.3,0.0,0.0,3.6,4.6,0.0
BN4,0.0,0.0,0.0,0.0,0.0,0.0,4.5,29.35,0.0,2.2,8.4,25.7
BN5,0.0,9.25,0.0,8.3,0.0,0.0,,0.0,5.7,2.8,22.1,17.95
BN6,,,,,,,,,,,,
BN7,,,,,,,,,,,,
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
DEF,10.55,12.2,6.35,31.4,11.15,23.15,8.95,11.45,13.95,16.0,8.5,6.8
