,daafisch,Chris,Tbistany,SHARKface,Erez,Tim,Jason,Ilan,Mark,JP,Frank Puoplo,D
QB,33.7,30.9,43.55,41.75,34.35,30.75,48.3,16.55,3.35,32.55,8.4,35.15
WR1,6.3,15.5,2.4,15.8,1.4,17.0,18.1,12.8,0.0,10.9,24.7,22.5
WR2,13.5,3.1,29.1,24.8,7.9,7.2,3.4,22.8,8.5,2.4,13.9,13.8
WR3,11.4,9.1,4.8,13.6,3.7,16.7,5.3,9.6,10.1,8.4,11.3,12.6
RB1,17.7,11.1,21.2,8.0,3.1,7.8,9.3,29.0,9.7,8.5,23.9,7.5
RB2,22.5,0.5,17.0,7.1,34.7,12.9,20.0,20.8,11.1,15.4,2.8,1.3
TE,8.6,3.0,6.7,1.3,3.2,11.5,0.9,4.2,0.0,23.0,10.2,27.6
W/R/T,8.8,6.7,7.9,12.4,3.0,7.7,13.2,8.7,2.5,5.6,3.5,11.4
BN1,1.2,6.7,0.0,2.7,13.8,0.0,10.9,0.4,0.0,22.95,0.0,0.0
BN2,0.0,7.45,0.0,2.2,8.05,0.0,0.0,0.0,0.0,0.0,0.0,4.6
BN3,10.4,0.0,0.0,26.3,0.0,0.0,0.0,14.1,0.0,0.0,0.0,16.2
BN4,0.0,0.0,15.8,8.35,0.0,16.7,23.1,6.6,0.0,0.0,10.0,0.0
BN5,,26.8,11.3,,0.0,0.0,4.0,24.65,0.0,15.5,7.1,11.35
BN6,,,,,,,,,,,,
BN7,,,,,,,,,,,,
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
DEF,26.75,9.45,17.35,7.75,9.45,32.9,10.6,10.7,11.65,4.9,7.7,14.35
