,daafisch,Chris,Tbistany,SHARKface,Erez,Tim,Jason,Ilan,Mark,JP,Frank Puoplo,D
QB,20.2,13.6,31.6,33.9,25.0,14.2,21.7,21.7,41.8,26.45,24.25,48.2
WR1,6.1,14.9,7.6,15.0,3.4,15.5,20.1,5.3,1.65,13.9,6.7,2.6
WR2,16.4,4.25,7.2,8.8,7.7,1.2,6.3,5.9,14.25,11.5,3.6,14.65
WR3,5.8,6.8,0.0,4.7,8.5,9.9,7.3,16.1,3.8,14.65,3.3,5.6
RB1,18.4,9.8,0.3,2.3,6.3,19.85,5.3,12.7,33.0,10.4,15.3,9.2
RB2,9.1,9.1,7.3,29.3,13.7,25.5,12.6,37.8,2.4,11.1,13.0,11.5
TE,7.7,4.2,8.0,11.3,8.9,12.7,5.8,15.3,7.6,6.9,4.4,17.1
W/R/T,13.7,5.8,16.5,0.0,3.4,1.3,5.5,9.2,7.4,9.7,10.8,5.0
BN1,0.0,0.0,0.0,0.0,0.0,0.0,16.5,8.6,9.9,21.95,18.8,8.8
BN2,6.2,0.0,0.0,11.0,0.0,0.0,4.1,0.0,5.5,19.1,2.9,8.8
BN3,0.0,11.1,0.0,8.9,0.0,9.4,0.0,22.3,0.0,4.0,0.0,1.6
BN4,20.05,9.0,0.0,17.4,0.0,0.0,7.4,11.1,0.0,0.0,13.25,20.8
BN5,4.0,0.0,15.6,4.7,10.0,6.0,0.0,0.0,0.0,0.0,2.9,6.95
BN6,,,,,,,,,,,,
BN7,,,,,,,,,,,,
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
DEF,11.55,6.8,10.55,11.35,8.3,19.55,18.5,12.4,26.6,15.45,9.45,9.05
